指标,地区,时间,数值
全国上市公司数量（家）,北京,2006.0,92.0
全国上市公司数量（家）,天津,2006.0,24.0
全国上市公司数量（家）,河北,2006.0,35.0
全国上市公司数量（家）,山西,2006.0,25.0
全国上市公司数量（家）,内蒙古,2006.0,20.0
全国上市公司数量（家）,辽宁,2006.0,49.0
全国上市公司数量（家）,吉林,2006.0,32.0
全国上市公司数量（家）,黑龙江,2006.0,30.0
全国上市公司数量（家）,上海,2006.0,149.0
全国上市公司数量（家）,江苏,2006.0,100.0
全国上市公司数量（家）,浙江,2006.0,96.0
全国上市公司数量（家）,安徽,2006.0,46.0
全国上市公司数量（家）,福建,2006.0,48.0
全国上市公司数量（家）,江西,2006.0,25.0
全国上市公司数量（家）,山东,2006.0,84.0
全国上市公司数量（家）,河南,2006.0,33.0
全国上市公司数量（家）,湖北,2006.0,61.0
全国上市公司数量（家）,湖南,2006.0,46.0
全国上市公司数量（家）,广东,2006.0,89.0
全国上市公司数量（家）,广西,2006.0,22.0
全国上市公司数量（家）,海南,2006.0,20.0
全国上市公司数量（家）,重庆,2006.0,29.0
全国上市公司数量（家）,四川,2006.0,64.0
全国上市公司数量（家）,贵州,2006.0,17.0
全国上市公司数量（家）,云南,2006.0,24.0
全国上市公司数量（家）,西藏,2006.0,8.0
全国上市公司数量（家）,陕西,2006.0,24.0
全国上市公司数量（家）,甘肃,2006.0,19.0
全国上市公司数量（家）,青海,2006.0,9.0
全国上市公司数量（家）,宁夏,2006.0,11.0
全国上市公司数量（家）,新疆,2006.0,29.0
上交所上市公司数量（家）,北京,2006.0,24.0
上交所上市公司数量（家）,天津,2006.0,16.0
上交所上市公司数量（家）,河北,2006.0,18.0
上交所上市公司数量（家）,山西,2006.0,16.0
上交所上市公司数量（家）,内蒙古,2006.0,16.0
上交所上市公司数量（家）,辽宁,2006.0,25.0
上交所上市公司数量（家）,吉林,2006.0,19.0
上交所上市公司数量（家）,黑龙江,2006.0,22.0
上交所上市公司数量（家）,上海,2006.0,146.0
上交所上市公司数量（家）,江苏,2006.0,63.0
上交所上市公司数量（家）,浙江,2006.0,62.0
上交所上市公司数量（家）,安徽,2006.0,27.0
上交所上市公司数量（家）,福建,2006.0,27.0
上交所上市公司数量（家）,江西,2006.0,16.0
上交所上市公司数量（家）,山东,2006.0,49.0
上交所上市公司数量（家）,河南,2006.0,20.0
上交所上市公司数量（家）,湖北,2006.0,34.0
上交所上市公司数量（家）,湖南,2006.0,20.0
上交所上市公司数量（家）,广东,2006.0,34.0
上交所上市公司数量（家）,广西,2006.0,10.0
上交所上市公司数量（家）,海南,2006.0,7.0
上交所上市公司数量（家）,重庆,2006.0,14.0
上交所上市公司数量（家）,四川,2006.0,34.0
上交所上市公司数量（家）,贵州,2006.0,9.0
上交所上市公司数量（家）,云南,2006.0,13.0
上交所上市公司数量（家）,西藏,2006.0,6.0
上交所上市公司数量（家）,陕西,2006.0,13.0
上交所上市公司数量（家）,甘肃,2006.0,11.0
上交所上市公司数量（家）,青海,2006.0,6.0
上交所上市公司数量（家）,宁夏,2006.0,4.0
上交所上市公司数量（家）,新疆,2006.0,21.0
深交所上市公司数量（家）,北京,2006.0,28.0
深交所上市公司数量（家）,天津,2006.0,8.0
深交所上市公司数量（家）,河北,2006.0,17.0
深交所上市公司数量（家）,山西,2006.0,9.0
深交所上市公司数量（家）,内蒙古,2006.0,4.0
深交所上市公司数量（家）,辽宁,2006.0,24.0
深交所上市公司数量（家）,吉林,2006.0,13.0
深交所上市公司数量（家）,黑龙江,2006.0,8.0
深交所上市公司数量（家）,上海,2006.0,3.0
深交所上市公司数量（家）,江苏,2006.0,37.0
深交所上市公司数量（家）,浙江,2006.0,34.0
深交所上市公司数量（家）,安徽,2006.0,19.0
深交所上市公司数量（家）,福建,2006.0,21.0
深交所上市公司数量（家）,江西,2006.0,9.0
深交所上市公司数量（家）,山东,2006.0,35.0
深交所上市公司数量（家）,河南,2006.0,13.0
深交所上市公司数量（家）,湖北,2006.0,27.0
