指标,地区,时间,数值
    全国上市公司数量（家）,北京,2009,127.00000
    全国上市公司数量（家）,北京,2010,163.00000
    全国上市公司数量（家）,天津,2009,28.00000
    全国上市公司数量（家）,天津,2010,34.00000
    全国上市公司数量（家）,河北,2009,35.00000
    全国上市公司数量（家）,河北,2010,44.00000
    全国上市公司数量（家）,山西,2009,27.00000
    全国上市公司数量（家）,山西,2010,30.00000
    全国上市公司数量（家）,内蒙古,2009,20.00000
    全国上市公司数量（家）,内蒙古,2010,21.00000
    全国上市公司数量（家）,辽宁,2009,52.00000
    全国上市公司数量（家）,辽宁,2010,60.00000
    全国上市公司数量（家）,吉林,2009,34.00000
    全国上市公司数量（家）,吉林,2010,35.00000
    全国上市公司数量（家）,黑龙江,2009,27.00000
    全国上市公司数量（家）,黑龙江,2010,30.00000
    全国上市公司数量（家）,上海,2009,167.00000
    全国上市公司数量（家）,上海,2010,180.00000
    全国上市公司数量（家）,江苏,2009,130.00000
    全国上市公司数量（家）,江苏,2010,168.00000
    全国上市公司数量（家）,浙江,2009,137.00000
    全国上市公司数量（家）,浙江,2010,185.00000
    全国上市公司数量（家）,安徽,2009,57.00000
    全国上市公司数量（家）,安徽,2010,65.00000
    全国上市公司数量（家）,福建,2009,58.00000
    全国上市公司数量（家）,福建,2010,74.00000
    全国上市公司数量（家）,江西,2009,26.00000
    全国上市公司数量（家）,江西,2010,30.00000
    全国上市公司数量（家）,山东,2009,100.00000
    全国上市公司数量（家）,山东,2010,126.00000
    全国上市公司数量（家）,河南,2009,41.00000
    全国上市公司数量（家）,河南,2010,51.00000
    全国上市公司数量（家）,湖北,2009,67.00000
    全国上市公司数量（家）,湖北,2010,73.00000
    全国上市公司数量（家）,湖南,2009,52.00000
    全国上市公司数量（家）,湖南,2010,62.00000
    全国上市公司数量（家）,广东,2009,225.00000
    全国上市公司数量（家）,广东,2010,294.00000
    全国上市公司数量（家）,广西,2009,26.00000
    全国上市公司数量（家）,广西,2010,27.00000
    全国上市公司数量（家）,海南,2009,21.00000
    全国上市公司数量（家）,海南,2010,22.00000
    全国上市公司数量（家）,重庆,2009,31.00000
    全国上市公司数量（家）,重庆,2010,35.00000
    全国上市公司数量（家）,四川,2009,71.00000
    全国上市公司数量（家）,四川,2010,82.00000
    全国上市公司数量（家）,贵州,2009,17.00000
    全国上市公司数量（家）,贵州,2010,19.00000
    全国上市公司数量（家）,云南,2009,27.00000
    全国上市公司数量（家）,云南,2010,29.00000
    全国上市公司数量（家）,西藏,2009,9.00000
    全国上市公司数量（家）,西藏,2010,9.00000
    全国上市公司数量（家）,陕西,2009,30.00000
    全国上市公司数量（家）,陕西,2010,36.00000
    全国上市公司数量（家）,甘肃,2009,22.00000
    全国上市公司数量（家）,甘肃,2010,22.00000
    全国上市公司数量（家）,青海,2009,9.00000
    全国上市公司数量（家）,青海,2010,9.00000
    全国上市公司数量（家）,宁夏,2009,11.00000
    全国上市公司数量（家）,宁夏,2010,12.00000
    全国上市公司数量（家）,新疆,2009,34.00000
    全国上市公司数量（家）,新疆,2010,36.00000
    上交所上市公司数量（家）,北京,2009,82.00000
