指标,地区,时间,数值
    全国上市公司数量（家）,北京,2019,343.00000
    全国上市公司数量（家）,北京,2020,380.00000
    全国上市公司数量（家）,天津,2019,53.00000
    全国上市公司数量（家）,天津,2020,60.00000
    全国上市公司数量（家）,河北,2019,58.00000
    全国上市公司数量（家）,河北,2020,61.00000
    全国上市公司数量（家）,山西,2019,38.00000
    全国上市公司数量（家）,山西,2020,39.00000
    全国上市公司数量（家）,内蒙古,2019,26.00000
    全国上市公司数量（家）,内蒙古,2020,26.00000
    全国上市公司数量（家）,辽宁,2019,47.00000
    全国上市公司数量（家）,辽宁,2020,49.00000
    全国上市公司数量（家）,吉林,2019,42.00000
    全国上市公司数量（家）,吉林,2020,45.00000
    全国上市公司数量（家）,黑龙江,2019,37.00000
    全国上市公司数量（家）,黑龙江,2020,39.00000
    全国上市公司数量（家）,上海,2019,309.00000
    全国上市公司数量（家）,上海,2020,343.00000
    全国上市公司数量（家）,江苏,2019,428.00000
    全国上市公司数量（家）,江苏,2020,482.00000
    全国上市公司数量（家）,浙江,2019,380.00000
    全国上市公司数量（家）,浙江,2020,425.00000
    全国上市公司数量（家）,安徽,2019,105.00000
    全国上市公司数量（家）,安徽,2020,126.00000
    全国上市公司数量（家）,福建,2019,89.00000
    全国上市公司数量（家）,福建,2020,93.00000
    全国上市公司数量（家）,江西,2019,44.00000
    全国上市公司数量（家）,江西,2020,55.00000
    全国上市公司数量（家）,山东,2019,173.00000
    全国上市公司数量（家）,山东,2020,185.00000
    全国上市公司数量（家）,河南,2019,82.00000
    全国上市公司数量（家）,河南,2020,87.00000
    全国上市公司数量（家）,湖北,2019,106.00000
    全国上市公司数量（家）,湖北,2020,114.00000
    全国上市公司数量（家）,湖南,2019,105.00000
    全国上市公司数量（家）,湖南,2020,117.00000
    全国上市公司数量（家）,广东,2019,319.00000
    全国上市公司数量（家）,广东,2020,344.00000
    全国上市公司数量（家）,广西,2019,38.00000
    全国上市公司数量（家）,广西,2020,38.00000
    全国上市公司数量（家）,海南,2019,31.00000
    全国上市公司数量（家）,海南,2020,32.00000
    全国上市公司数量（家）,重庆,2019,55.00000
    全国上市公司数量（家）,重庆,2020,57.00000
    全国上市公司数量（家）,四川,2019,125.00000
    全国上市公司数量（家）,四川,2020,136.00000
    全国上市公司数量（家）,贵州,2019,29.00000
    全国上市公司数量（家）,贵州,2020,31.00000
    全国上市公司数量（家）,云南,2019,36.00000
    全国上市公司数量（家）,云南,2020,37.00000
    全国上市公司数量（家）,西藏,2019,19.00000
    全国上市公司数量（家）,西藏,2020,20.00000
    全国上市公司数量（家）,陕西,2019,54.00000
    全国上市公司数量（家）,陕西,2020,59.00000
    全国上市公司数量（家）,甘肃,2019,34.00000
    全国上市公司数量（家）,甘肃,2020,34.00000
    全国上市公司数量（家）,青海,2019,12.00000
    全国上市公司数量（家）,青海,2020,12.00000
    全国上市公司数量（家）,宁夏,2019,14.00000
    全国上市公司数量（家）,宁夏,2020,14.00000
    全国上市公司数量（家）,新疆,2019,55.00000
    全国上市公司数量（家）,新疆,2020,59.00000
    全国上市公司数量（家）,深圳,2019,299.00000
    全国上市公司数量（家）,深圳,2020,333.00000
    全国上市公司数量（家）,大连,2019,28.00000
    全国上市公司数量（家）,大连,2020,27.00000
    全国上市公司数量（家）,宁波,2019,77.00000
    全国上市公司数量（家）,宁波,2020,93.00000
    全国上市公司数量（家）,厦门,2019,49.00000
    全国上市公司数量（家）,厦门,2020,58.00000
    全国上市公司数量（家）,青岛,2019,38.00000
    全国上市公司数量（家）,青岛,2020,44.00000
    上交所上市公司数量（家）,北京,2019,159.00000
    上交所上市公司数量（家）,北京,2020,186.00000
    上交所上市公司数量（家）,天津,2019,28.00000
    上交所上市公司数量（家）,天津,2020,32.00000
    上交所上市公司数量（家）,河北,2019,22.00000
    上交所上市公司数量（家）,河北,2020,23.00000
    上交所上市公司数量（家）,山西,2019,20.00000
    上交所上市公司数量（家）,山西,2020,20.00000
    上交所上市公司数量（家）,内蒙古,2019,16.00000
    上交所上市公司数量（家）,内蒙古,2020,16.00000
    上交所上市公司数量（家）,辽宁,2019,19.00000
    上交所上市公司数量（家）,辽宁,2020,21.00000
    上交所上市公司数量（家）,吉林,2019,17.00000
    上交所上市公司数量（家）,吉林,2020,18.00000
    上交所上市公司数量（家）,黑龙江,2019,26.00000
    上交所上市公司数量（家）,黑龙江,2020,27.00000
    上交所上市公司数量（家）,上海,2019,228.00000
    上交所上市公司数量（家）,上海,2020,258.00000
    上交所上市公司数量（家）,江苏,2019,194.00000
    上交所上市公司数量（家）,江苏,2020,236.00000
    上交所上市公司数量（家）,浙江,2019,164.00000
    上交所上市公司数量（家）,浙江,2020,191.00000
    上交所上市公司数量（家）,安徽,2019,48.00000
    上交所上市公司数量（家）,安徽,2020,57.00000
    上交所上市公司数量（家）,福建,2019,37.00000
    上交所上市公司数量（家）,福建,2020,42.00000
    上交所上市公司数量（家）,江西,2019,17.00000
    上交所上市公司数量（家）,江西,2020,24.00000
    上交所上市公司数量（家）,山东,2019,62.00000
    上交所上市公司数量（家）,山东,2020,70.00000
    上交所上市公司数量（家）,河南,2019,31.00000
    上交所上市公司数量（家）,河南,2020,31.00000
    上交所上市公司数量（家）,湖北,2019,42.00000
    上交所上市公司数量（家）,湖北,2020,48.00000
    上交所上市公司数量（家）,湖南,2019,30.00000
    上交所上市公司数量（家）,湖南,2020,37.00000
    上交所上市公司数量（家）,广东,2019,67.00000
    上交所上市公司数量（家）,广东,2020,76.00000
    上交所上市公司数量（家）,广西,2019,17.00000
    上交所上市公司数量（家）,广西,2020,17.00000
    上交所上市公司数量（家）,海南,2019,11.00000
    上交所上市公司数量（家）,海南,2020,12.00000
    上交所上市公司数量（家）,重庆,2019,29.00000
    上交所上市公司数量（家）,重庆,2020,29.00000
    上交所上市公司数量（家）,四川,2019,43.00000
    上交所上市公司数量（家）,四川,2020,49.00000
    上交所上市公司数量（家）,贵州,2019,14.00000
    上交所上市公司数量（家）,贵州,2020,15.00000
    上交所上市公司数量（家）,云南,2019,14.00000
    上交所上市公司数量（家）,云南,2020,15.00000
    上交所上市公司数量（家）,西藏,2019,9.00000
    上交所上市公司数量（家）,西藏,2020,9.00000
    上交所上市公司数量（家）,陕西,2019,26.00000
    上交所上市公司数量（家）,陕西,2020,28.00000
    上交所上市公司数量（家）,甘肃,2019,16.00000
    上交所上市公司数量（家）,甘肃,2020,16.00000
    上交所上市公司数量（家）,青海,2019,8.00000
    上交所上市公司数量（家）,青海,2020,8.00000
    上交所上市公司数量（家）,宁夏,2019,6.00000
    上交所上市公司数量（家）,宁夏,2020,6.00000
    上交所上市公司数量（家）,新疆,2019,29.00000
    上交所上市公司数量（家）,新疆,2020,31.00000
    上交所上市公司数量（家）,深圳,2019,28.00000
    上交所上市公司数量（家）,深圳,2020,40.00000
    上交所上市公司数量（家）,大连,2019,14.00000
    上交所上市公司数量（家）,大连,2020,14.00000
    上交所上市公司数量（家）,宁波,2019,46.00000
    上交所上市公司数量（家）,宁波,2020,56.00000
    上交所上市公司数量（家）,厦门,2019,17.00000
    上交所上市公司数量（家）,厦门,2020,21.00000
    上交所上市公司数量（家）,青岛,2019,18.00000
    上交所上市公司数量（家）,青岛,2020,21.00000
    深交所上市公司数量（家）,北京,2019,184.00000
    深交所上市公司数量（家）,北京,2020,194.00000
    深交所上市公司数量（家）,天津,2019,25.00000
    深交所上市公司数量（家）,天津,2020,28.00000
    深交所上市公司数量（家）,河北,2019,36.00000
    深交所上市公司数量（家）,河北,2020,38.00000
    深交所上市公司数量（家）,山西,2019,18.00000
    深交所上市公司数量（家）,山西,2020,19.00000
    深交所上市公司数量（家）,内蒙古,2019,10.00000
    深交所上市公司数量（家）,内蒙古,2020,10.00000
    深交所上市公司数量（家）,辽宁,2019,28.00000
    深交所上市公司数量（家）,辽宁,2020,28.00000
    深交所上市公司数量（家）,吉林,2019,25.00000
    深交所上市公司数量（家）,吉林,2020,27.00000
    深交所上市公司数量（家）,黑龙江,2019,11.00000
    深交所上市公司数量（家）,黑龙江,2020,12.00000
    深交所上市公司数量（家）,上海,2019,81.00000
    深交所上市公司数量（家）,上海,2020,85.00000
    深交所上市公司数量（家）,江苏,2019,234.00000
    深交所上市公司数量（家）,江苏,2020,246.00000
    深交所上市公司数量（家）,浙江,2019,216.00000
    深交所上市公司数量（家）,浙江,2020,234.00000
    深交所上市公司数量（家）,安徽,2019,57.00000
    深交所上市公司数量（家）,安徽,2020,69.00000
    深交所上市公司数量（家）,福建,2019,52.00000
    深交所上市公司数量（家）,福建,2020,51.00000
    深交所上市公司数量（家）,江西,2019,27.00000
    深交所上市公司数量（家）,江西,2020,31.00000
    深交所上市公司数量（家）,山东,2019,111.00000
    深交所上市公司数量（家）,山东,2020,115.00000
    深交所上市公司数量（家）,河南,2019,51.00000
    深交所上市公司数量（家）,河南,2020,56.00000
    深交所上市公司数量（家）,湖北,2019,64.00000
    深交所上市公司数量（家）,湖北,2020,66.00000
    深交所上市公司数量（家）,湖南,2019,75.00000
    深交所上市公司数量（家）,湖南,2020,80.00000
    深交所上市公司数量（家）,广东,2019,252.00000
    深交所上市公司数量（家）,广东,2020,268.00000
    深交所上市公司数量（家）,广西,2019,21.00000
    深交所上市公司数量（家）,广西,2020,21.00000
    深交所上市公司数量（家）,海南,2019,20.00000
    深交所上市公司数量（家）,海南,2020,20.00000
    深交所上市公司数量（家）,重庆,2019,26.00000
    深交所上市公司数量（家）,重庆,2020,28.00000
    深交所上市公司数量（家）,四川,2019,82.00000
    深交所上市公司数量（家）,四川,2020,87.00000
    深交所上市公司数量（家）,贵州,2019,15.00000
    深交所上市公司数量（家）,贵州,2020,16.00000
    深交所上市公司数量（家）,云南,2019,22.00000
    深交所上市公司数量（家）,云南,2020,22.00000
    深交所上市公司数量（家）,西藏,2019,10.00000
    深交所上市公司数量（家）,西藏,2020,11.00000
