指标,地区,时间,数值
总人口（万人）,北京,1979.0,897.1
总人口（万人）,天津,1979.0,739.42
总人口（万人）,河北,1979.0,5105.0
总人口（万人）,山西,1979.0,2447.2
总人口（万人）,内蒙古,1979.0,1851.8
总人口（万人）,辽宁,1979.0,3442.0
总人口（万人）,吉林,1979.0,2184.6
总人口（万人）,黑龙江,1979.0,3168.7
总人口（万人）,上海,1979.0,1132.14
总人口（万人）,江苏,1979.0,5892.55
总人口（万人）,浙江,1979.0,3792.33
总人口（万人）,安徽,1979.0,4803.0
总人口（万人）,福建,1979.0,2487.0
总人口（万人）,江西,1979.0,3228.98
总人口（万人）,山东,1979.0,7232.0
总人口（万人）,河南,1979.0,7189.0
总人口（万人）,湖北,1979.0,4632.78
总人口（万人）,湖南,1979.0,5223.05
总人口（万人）,广东,1979.0,5140.5
总人口（万人）,广西,1979.0,3470.0
总人口（万人）,海南,1979.0,540.3
总人口（万人）,重庆,1979.0,2653.69
总人口（万人）,四川,1979.0,7120.5
总人口（万人）,贵州,1979.0,2730.99
总人口（万人）,云南,1979.0,3134.79
总人口（万人）,西藏,1979.0,178.82
总人口（万人）,陕西,1979.0,2806.57
总人口（万人）,甘肃,1979.0,1893.79
总人口（万人）,青海,1979.0,372.02
总人口（万人）,宁夏,1979.0,364.14
总人口（万人）,新疆,1979.0,1255.97
城镇人口数（万人）,北京,1979.0,510.3
城镇人口数（万人）,天津,1979.0,380.57
城镇人口数（万人）,山西,1979.0,484.79032
城镇人口数（万人）,内蒙古,1979.0,480.0
城镇人口数（万人）,辽宁,1979.0,1165.0
城镇人口数（万人）,吉林,1979.0,810.4
城镇人口数（万人）,黑龙江,1979.0,1181.4
城镇人口数（万人）,上海,1979.0,444.76
城镇人口数（万人）,江苏,1979.0,874.22
城镇人口数（万人）,江西,1979.0,563.0294
城镇人口数（万人）,山东,1979.0,661.0
城镇人口数（万人）,河南,1979.0,993.5198
城镇人口数（万人）,湖北,1979.0,747.92
城镇人口数（万人）,湖南,1979.0,639.6
城镇人口数（万人）,广东,1979.0,868.66
城镇人口数（万人）,广西,1979.0,373.0
城镇人口数（万人）,海南,1979.0,46.02
城镇人口数（万人）,贵州,1979.0,520.82
城镇人口数（万人）,云南,1979.0,388.31
城镇人口数（万人）,西藏,1979.0,20.22
城镇人口数（万人）,甘肃,1979.0,279.89
城镇人口数（万人）,青海,1979.0,71.06
城镇人口数（万人）,宁夏,1979.0,64.48
城镇人口数（万人）,新疆,1979.0,361.2
城镇人口所占比率（%）,安徽,1979.0,12.97
乡村人口数（万人）,北京,1979.0,386.8
乡村人口数（万人）,天津,1979.0,358.85
乡村人口数（万人）,山西,1979.0,1962.40968
乡村人口数（万人）,内蒙古,1979.0,1371.8
乡村人口数（万人）,辽宁,1979.0,2278.0
乡村人口数（万人）,吉林,1979.0,1374.2
乡村人口数（万人）,黑龙江,1979.0,1987.3
乡村人口数（万人）,上海,1979.0,687.38
乡村人口数（万人）,江苏,1979.0,5018.33
乡村人口数（万人）,江西,1979.0,2665.9484
乡村人口数（万人）,山东,1979.0,6570.0
乡村人口数（万人）,河南,1979.0,6195.4802
乡村人口数（万人）,湖北,1979.0,3884.86
乡村人口数（万人）,湖南,1979.0,4583.45
乡村人口数（万人）,广东,1979.0,4271.84
乡村人口数（万人）,广西,1979.0,3097.0
乡村人口数（万人）,海南,1979.0,494.28
乡村人口数（万人）,贵州,1979.0,2210.17
乡村人口数（万人）,云南,1979.0,2746.48
乡村人口数（万人）,西藏,1979.0,158.54
乡村人口数（万人）,甘肃,1979.0,1613.9
乡村人口数（万人）,青海,1979.0,300.96
乡村人口数（万人）,宁夏,1979.0,299.66
乡村人口数（万人）,新疆,1979.0,894.77
乡村人口所占比率（%）,安徽,1979.0,87.03
户籍人口（万人）,北京,1979.0,897.1
户籍人口（万人）,天津,1979.0,739.42
户籍人口（万人）,河北,1979.0,5105.0
户籍人口（万人）,山西,1979.0,2447.2
户籍人口（万人）,内蒙古,1979.0,1851.8
户籍人口（万人）,辽宁,1979.0,3443.0
户籍人口（万人）,吉林,1979.0,2184.6
户籍人口（万人）,黑龙江,1979.0,3168.7
户籍人口（万人）,江苏,1979.0,5892.55
户籍人口（万人）,浙江,1979.0,3792.33
户籍人口（万人）,安徽,1979.0,4803.0
户籍人口（万人）,江西,1979.0,3229.0
户籍人口（万人）,山东,1979.0,7232.0
户籍人口（万人）,湖南,1979.0,5223.05
户籍人口（万人）,广东,1979.0,5140.5
户籍人口（万人）,广西,1979.0,3470.0
户籍人口（万人）,海南,1979.0,540.3
户籍人口（万人）,重庆,1979.0,2653.69
户籍人口（万人）,贵州,1979.0,2730.99
户籍人口（万人）,云南,1979.0,3134.79
户籍人口（万人）,西藏,1979.0,178.82
户籍人口（万人）,陕西,1979.0,2807.0
户籍人口（万人）,甘肃,1979.0,1893.79
户籍人口（万人）,宁夏,1979.0,364.14
户籍人口（万人）,新疆,1979.0,1255.97
人口出生率（‰）,北京,1979.0,13.67
人口出生率（‰）,天津,1979.0,14.57
人口出生率（‰）,河北,1979.0,19.9
人口出生率（‰）,山西,1979.0,15.62
人口出生率（‰）,内蒙古,1979.0,18.1
人口出生率（‰）,辽宁,1979.0,17.0
人口出生率（‰）,吉林,1979.0,19.41
人口出生率（‰）,黑龙江,1979.0,15.4
人口出生率（‰）,上海,1979.0,12.3
人口出生率（‰）,江苏,1979.0,14.63
人口出生率（‰）,浙江,1979.0,17.98
人口出生率（‰）,安徽,1979.0,21.79
人口出生率（‰）,福建,1979.0,22.91
人口出生率（‰）,江西,1979.0,20.97
人口出生率（‰）,山东,1979.0,16.94
人口出生率（‰）,河南,1979.0,21.51
人口出生率（‰）,湖北,1979.0,19.87
人口出生率（‰）,湖南,1979.0,17.84
人口出生率（‰）,广东,1979.0,23.6
人口出生率（‰）,广西,1979.0,25.26
人口出生率（‰）,海南,1979.0,25.9
人口出生率（‰）,重庆,1979.0,11.93
人口出生率（‰）,四川,1979.0,15.2
人口出生率（‰）,贵州,1979.0,26.89
人口出生率（‰）,云南,1979.0,24.08
人口出生率（‰）,西藏,1979.0,22.9
人口出生率（‰）,陕西,1979.0,17.01
人口出生率（‰）,甘肃,1979.0,16.54
人口出生率（‰）,青海,1979.0,24.47
人口出生率（‰）,宁夏,1979.0,27.56
人口出生率（‰）,新疆,1979.0,22.54
人口死亡率（‰）,北京,1979.0,5.92
人口死亡率（‰）,天津,1979.0,5.94
人口死亡率（‰）,河北,1979.0,6.4
人口死亡率（‰）,山西,1979.0,6.41
人口死亡率（‰）,内蒙古,1979.0,4.9
人口死亡率（‰）,辽宁,1979.0,5.0
人口死亡率（‰）,吉林,1979.0,5.52
人口死亡率（‰）,黑龙江,1979.0,4.33
人口死亡率（‰）,上海,1979.0,6.1
人口死亡率（‰）,江苏,1979.0,5.85
人口死亡率（‰）,浙江,1979.0,5.89
人口死亡率（‰）,安徽,1979.0,4.69
人口死亡率（‰）,福建,1979.0,6.28
人口死亡率（‰）,江西,1979.0,7.23
人口死亡率（‰）,山东,1979.0,6.15
人口死亡率（‰）,河南,1979.0,6.35
人口死亡率（‰）,湖北,1979.0,7.11
人口死亡率（‰）,湖南,1979.0,7.12
人口死亡率（‰）,广东,1979.0,5.61
人口死亡率（‰）,广西,1979.0,6.07
人口死亡率（‰）,海南,1979.0,4.73
人口死亡率（‰）,重庆,1979.0,6.52
人口死亡率（‰）,四川,1979.0,6.9
人口死亡率（‰）,贵州,1979.0,7.1
人口死亡率（‰）,云南,1979.0,8.13
人口死亡率（‰）,西藏,1979.0,8.8
人口死亡率（‰）,陕西,1979.0,6.86
人口死亡率（‰）,甘肃,1979.0,5.72
人口死亡率（‰）,青海,1979.0,6.48
人口死亡率（‰）,宁夏,1979.0,5.56
人口死亡率（‰）,新疆,1979.0,8.33
人口自然增长率（‰）,北京,1979.0,7.75
人口自然增长率（‰）,天津,1979.0,8.63
人口自然增长率（‰）,河北,1979.0,13.5
人口自然增长率（‰）,山西,1979.0,9.21
人口自然增长率（‰）,内蒙古,1979.0,13.2
人口自然增长率（‰）,辽宁,1979.0,12.0
人口自然增长率（‰）,吉林,1979.0,13.89
人口自然增长率（‰）,黑龙江,1979.0,11.07
人口自然增长率（‰）,上海,1979.0,6.2
人口自然增长率（‰）,江苏,1979.0,8.78
人口自然增长率（‰）,浙江,1979.0,12.09
人口自然增长率（‰）,安徽,1979.0,17.1
人口自然增长率（‰）,福建,1979.0,16.63
人口自然增长率（‰）,江西,1979.0,13.74
人口自然增长率（‰）,山东,1979.0,10.79
人口自然增长率（‰）,河南,1979.0,15.16
人口自然增长率（‰）,湖北,1979.0,12.76
人口自然增长率（‰）,湖南,1979.0,10.72
人口自然增长率（‰）,广东,1979.0,17.99
人口自然增长率（‰）,广西,1979.0,19.19
人口自然增长率（‰）,海南,1979.0,21.17
