指标,地区,时间,数值
            总人口（万人）,北京,1993,1112.00000
            总人口（万人）,天津,1993,928.00000
            总人口（万人）,河北,1993,6334.00000
            总人口（万人）,山西,1993,3012.00000
            总人口（万人）,内蒙古,1993,2232.00000
            总人口（万人）,辽宁,1993,4042.00000
            总人口（万人）,吉林,1993,2555.00000
            总人口（万人）,黑龙江,1993,3640.00000
            总人口（万人）,上海,1993,1349.00000
            总人口（万人）,江苏,1993,6967.00000
            总人口（万人）,浙江,1993,4266.00000
            总人口（万人）,安徽,1993,5897.00000
            总人口（万人）,福建,1993,3150.00000
            总人口（万人）,江西,1993,3966.00000
            总人口（万人）,山东,1993,8642.00000
            总人口（万人）,河南,1993,8946.00000
            总人口（万人）,湖北,1993,5653.00000
            总人口（万人）,湖南,1993,6311.00000
            总人口（万人）,广东,1993,6607.00000
            总人口（万人）,广西,1993,4438.00000
            总人口（万人）,海南,1993,701.00000
            总人口（万人）,重庆,1993,2964.92000
            总人口（万人）,四川,1993,8037.40000
            总人口（万人）,贵州,1993,3409.00000
            总人口（万人）,云南,1993,3885.20000
            总人口（万人）,西藏,1993,232.00000
            总人口（万人）,陕西,1993,3443.00000
            总人口（万人）,甘肃,1993,2345.00000
            总人口（万人）,青海,1993,466.70000
            总人口（万人）,宁夏,1993,495.00000
            总人口（万人）,新疆,1993,1605.00000
            城镇人口数（万人）,北京,1993,831.00000
            城镇人口数（万人）,天津,1993,499.98000
            城镇人口数（万人）,山西,1993,889.92795
            城镇人口数（万人）,内蒙古,1993,831.80000
            城镇人口数（万人）,辽宁,1993,1736.00000
            城镇人口数（万人）,吉林,1993,2126.60000
            城镇人口数（万人）,黑龙江,1993,1866.20000
            城镇人口数（万人）,上海,1993,401.28000
            城镇人口数（万人）,江苏,1993,1673.58000
            城镇人口数（万人）,江西,1993,894.42150
            城镇人口数（万人）,山东,1993,1896.00000
            城镇人口数（万人）,河南,1993,1476.98460
            城镇人口数（万人）,湖北,1993,1731.66000
            城镇人口数（万人）,湖南,1993,1205.95000
            城镇人口数（万人）,广西,1993,2473.00000
            城镇人口数（万人）,海南,1993,138.71000
            城镇人口数（万人）,贵州,1993,2324.92000
            城镇人口数（万人）,云南,1993,1664.00000
            城镇人口数（万人）,西藏,1993,37.01000
            城镇人口数（万人）,甘肃,1993,534.75000
            城镇人口数（万人）,青海,1993,158.04000
            城镇人口数（万人）,宁夏,1993,119.56000
            城镇人口数（万人）,新疆,1993,743.04000
            城镇人口所占比率（%）,安徽,1993,18.48000
            乡村人口数（万人）,北京,1993,281.00000
            乡村人口数（万人）,天津,1993,385.91000
            乡村人口数（万人）,山西,1993,2122.69205
            乡村人口数（万人）,内蒙古,1993,1400.60000
            乡村人口数（万人）,辽宁,1993,2247.00000
            乡村人口数（万人）,吉林,1993,369.50000
            乡村人口数（万人）,黑龙江,1993,1773.80000
            乡村人口数（万人）,上海,1993,893.46000
            乡村人口数（万人）,江苏,1993,5293.69000
            乡村人口数（万人）,江西,1993,3071.61900
            乡村人口数（万人）,山东,1993,6724.00000
            乡村人口数（万人）,河南,1993,7469.01540
            乡村人口数（万人）,湖北,1993,3921.82000
            乡村人口数（万人）,湖南,1993,5039.63000
            乡村人口数（万人）,广西,1993,1935.00000
            乡村人口数（万人）,海南,1993,543.07000
            乡村人口数（万人）,贵州,1993,1083.77000
            乡村人口数（万人）,云南,1993,2221.20000
            乡村人口数（万人）,西藏,1993,188.26000
            乡村人口数（万人）,甘肃,1993,1810.48000
            乡村人口数（万人）,青海,1993,308.66000
            乡村人口数（万人）,宁夏,1993,371.30000
            乡村人口数（万人）,新疆,1993,862.22000
            乡村人口所占比率（%）,安徽,1993,81.52000
            户籍人口（万人）,天津,1993,885.89000
            户籍人口（万人）,辽宁,1993,3983.00000
            户籍人口（万人）,吉林,1993,2496.10000
            户籍人口（万人）,安徽,1993,5870.00000
            户籍人口（万人）,湖南,1993,6245.58000
            户籍人口（万人）,广西,1993,4438.00000
            户籍人口（万人）,重庆,1993,2964.92000
            户籍人口（万人）,贵州,1993,3408.69000
            户籍人口（万人）,宁夏,1993,490.86000
            人口出生率（‰）,北京,1993,9.35000
            人口出生率（‰）,天津,1993,10.71000
            人口出生率（‰）,河北,1993,15.40000
            人口出生率（‰）,山西,1993,17.48000
            人口出生率（‰）,内蒙古,1993,18.50000
            人口出生率（‰）,辽宁,1993,10.00000
            人口出生率（‰）,吉林,1993,12.87000
            人口出生率（‰）,黑龙江,1993,15.90000
            人口出生率（‰）,上海,1993,6.50000
            人口出生率（‰）,江苏,1993,13.97000
            人口出生率（‰）,浙江,1993,13.61000
            人口出生率（‰）,安徽,1993,17.18000
            人口出生率（‰）,福建,1993,16.72000
            人口出生率（‰）,江西,1993,20.33000
            人口出生率（‰）,山东,1993,10.49000
            人口出生率（‰）,河南,1993,15.87000
            人口出生率（‰）,湖北,1993,20.04000
            人口出生率（‰）,湖南,1993,14.08000
            人口出生率（‰）,广东,1993,17.59000
            人口出生率（‰）,广西,1993,19.58000
            人口出生率（‰）,海南,1993,21.01000
            人口出生率（‰）,重庆,1993,12.09000
            人口出生率（‰）,四川,1993,16.80000
            人口出生率（‰）,贵州,1993,22.60000
            人口出生率（‰）,云南,1993,22.00000
            人口出生率（‰）,西藏,1993,23.60000
            人口出生率（‰）,陕西,1993,17.63000
            人口出生率（‰）,甘肃,1993,20.16000
            人口出生率（‰）,青海,1993,20.50000
            人口出生率（‰）,宁夏,1993,19.43000
            人口出生率（‰）,新疆,1993,21.53000
            人口死亡率（‰）,北京,1993,6.16000
            人口死亡率（‰）,天津,1993,6.20000
            人口死亡率（‰）,河北,1993,6.10000
            人口死亡率（‰）,山西,1993,6.36000
            人口死亡率（‰）,内蒙古,1993,6.80000
            人口死亡率（‰）,辽宁,1993,5.60000
            人口死亡率（‰）,吉林,1993,5.00000
            人口死亡率（‰）,黑龙江,1993,5.52000
            人口死亡率（‰）,上海,1993,7.30000
            人口死亡率（‰）,江苏,1993,6.61000
            人口死亡率（‰）,浙江,1993,6.58000
            人口死亡率（‰）,安徽,1993,6.51000
            人口死亡率（‰）,福建,1993,5.62000
            人口死亡率（‰）,江西,1993,6.89000
            人口死亡率（‰）,山东,1993,6.76000
            人口死亡率（‰）,河南,1993,6.35000
            人口死亡率（‰）,湖北,1993,6.93000
            人口死亡率（‰）,湖南,1993,7.13000
            人口死亡率（‰）,广东,1993,5.57000
            人口死亡率（‰）,广西,1993,6.35000
            人口死亡率（‰）,海南,1993,5.26000
            人口死亡率（‰）,重庆,1993,6.84000
            人口死亡率（‰）,四川,1993,7.20000
            人口死亡率（‰）,贵州,1993,8.50000
            人口死亡率（‰）,云南,1993,8.10000
            人口死亡率（‰）,西藏,1993,8.10000
            人口死亡率（‰）,陕西,1993,6.55000
            人口死亡率（‰）,甘肃,1993,6.84000
            人口死亡率（‰）,青海,1993,8.26000
            人口死亡率（‰）,宁夏,1993,5.36000
            人口死亡率（‰）,新疆,1993,7.68000
            人口自然增长率（‰）,北京,1993,3.19000
            人口自然增长率（‰）,天津,1993,4.51000
            人口自然增长率（‰）,河北,1993,9.30000
            人口自然增长率（‰）,山西,1993,11.12000
            人口自然增长率（‰）,内蒙古,1993,11.70000
            人口自然增长率（‰）,辽宁,1993,4.40000
            人口自然增长率（‰）,吉林,1993,7.84000
            人口自然增长率（‰）,黑龙江,1993,10.38000
            人口自然增长率（‰）,上海,1993,-0.80000
            人口自然增长率（‰）,江苏,1993,7.36000
            人口自然增长率（‰）,浙江,1993,7.03000
            人口自然增长率（‰）,安徽,1993,10.67000
            人口自然增长率（‰）,福建,1993,11.10000
            人口自然增长率（‰）,江西,1993,13.44000
            人口自然增长率（‰）,山东,1993,3.73000
            人口自然增长率（‰）,河南,1993,9.52000
            人口自然增长率（‰）,湖北,1993,13.11000
            人口自然增长率（‰）,湖南,1993,6.95000
            人口自然增长率（‰）,广东,1993,12.02000
            人口自然增长率（‰）,广西,1993,13.23000
            人口自然增长率（‰）,海南,1993,15.75000
            人口自然增长率（‰）,重庆,1993,5.25000
            人口自然增长率（‰）,四川,1993,9.60000
            人口自然增长率（‰）,贵州,1993,14.10000
            人口自然增长率（‰）,云南,1993,13.90000
            人口自然增长率（‰）,西藏,1993,15.50000
            人口自然增长率（‰）,陕西,1993,11.08000
            人口自然增长率（‰）,甘肃,1993,13.32000
            人口自然增长率（‰）,青海,1993,12.24000
            人口自然增长率（‰）,宁夏,1993,14.07000
            人口自然增长率（‰）,新疆,1993,13.85000
数据来源：<p>中国国家统计局</p>
由EPS DATA整理
