指标,地区,时间,数值
            总人口（万人）,北京,2006,1601.00000
            总人口（万人）,天津,2006,1075.00000
            总人口（万人）,河北,2006,6898.00000
            总人口（万人）,山西,2006,3375.00000
            总人口（万人）,内蒙古,2006,2415.00000
            总人口（万人）,辽宁,2006,4271.00000
            总人口（万人）,吉林,2006,2723.00000
            总人口（万人）,黑龙江,2006,3823.00000
            总人口（万人）,上海,2006,1964.00000
            总人口（万人）,江苏,2006,7656.00000
            总人口（万人）,浙江,2006,5072.00000
            总人口（万人）,安徽,2006,6110.00000
            总人口（万人）,福建,2006,3585.00000
            总人口（万人）,江西,2006,4339.00000
            总人口（万人）,山东,2006,9309.00000
            总人口（万人）,河南,2006,9392.00000
            总人口（万人）,湖北,2006,5693.00000
            总人口（万人）,湖南,2006,6342.00000
            总人口（万人）,广东,2006,9442.00000
            总人口（万人）,广西,2006,4719.00000
            总人口（万人）,海南,2006,836.00000
            总人口（万人）,重庆,2006,2808.00000
            总人口（万人）,四川,2006,8169.00000
            总人口（万人）,贵州,2006,3690.00000
            总人口（万人）,云南,2006,4483.00000
            总人口（万人）,西藏,2006,285.00000
            总人口（万人）,陕西,2006,3699.00000
            总人口（万人）,甘肃,2006,2547.00000
            总人口（万人）,青海,2006,548.00000
            总人口（万人）,宁夏,2006,604.00000
            总人口（万人）,新疆,2006,2050.00000
            城镇人口数（万人）,北京,2006,1350.00000
            城镇人口数（万人）,天津,2006,814.00000
            城镇人口数（万人）,河北,2006,2674.00000
            城镇人口数（万人）,山西,2006,1451.00000
            城镇人口数（万人）,内蒙古,2006,1175.00000
            城镇人口数（万人）,辽宁,2006,2519.00000
            城镇人口数（万人）,吉林,2006,1442.00000
            城镇人口数（万人）,黑龙江,2006,2045.00000
            城镇人口数（万人）,上海,2006,1742.00000
            城镇人口数（万人）,江苏,2006,3973.00000
            城镇人口数（万人）,浙江,2006,2866.00000
            城镇人口数（万人）,安徽,2006,2267.00000
            城镇人口数（万人）,福建,2006,1807.00000
            城镇人口数（万人）,江西,2006,1678.00000
            城镇人口数（万人）,山东,2006,4291.00000
            城镇人口数（万人）,河南,2006,3050.00000
            城镇人口数（万人）,湖北,2006,2494.00000
            城镇人口数（万人）,湖南,2006,2455.00000
            城镇人口数（万人）,广东,2006,5949.00000
            城镇人口数（万人）,广西,2006,1635.00000
            城镇人口数（万人）,海南,2006,385.00000
            城镇人口数（万人）,重庆,2006,1311.00000
            城镇人口数（万人）,四川,2006,2802.00000
            城镇人口数（万人）,贵州,2006,1013.00000
            城镇人口数（万人）,云南,2006,1367.00000
            城镇人口数（万人）,西藏,2006,60.00000
            城镇人口数（万人）,陕西,2006,1447.00000
            城镇人口数（万人）,甘肃,2006,792.00000
            城镇人口数（万人）,青海,2006,215.00000
            城镇人口数（万人）,宁夏,2006,260.00000
            城镇人口数（万人）,新疆,2006,778.00000
            城镇人口所占比率（%）,北京,2006,84.33000
            城镇人口所占比率（%）,天津,2006,75.73000
            城镇人口所占比率（%）,河北,2006,38.77000
            城镇人口所占比率（%）,山西,2006,43.01000
            城镇人口所占比率（%）,内蒙古,2006,48.64000
            城镇人口所占比率（%）,辽宁,2006,58.99000
            城镇人口所占比率（%）,吉林,2006,52.97000
            城镇人口所占比率（%）,黑龙江,2006,53.50000
            城镇人口所占比率（%）,上海,2006,88.70000
            城镇人口所占比率（%）,江苏,2006,51.90000
            城镇人口所占比率（%）,浙江,2006,56.50000
            城镇人口所占比率（%）,安徽,2006,37.10000
            城镇人口所占比率（%）,福建,2006,50.40000
            城镇人口所占比率（%）,江西,2006,38.68000
            城镇人口所占比率（%）,山东,2006,46.10000
            城镇人口所占比率（%）,河南,2006,32.47000
            城镇人口所占比率（%）,湖北,2006,43.80000
            城镇人口所占比率（%）,湖南,2006,38.71000
            城镇人口所占比率（%）,广东,2006,63.00000
            城镇人口所占比率（%）,广西,2006,34.64000
            城镇人口所占比率（%）,海南,2006,46.10000
            城镇人口所占比率（%）,重庆,2006,46.70000
            城镇人口所占比率（%）,四川,2006,34.30000
            城镇人口所占比率（%）,贵州,2006,27.46000
            城镇人口所占比率（%）,云南,2006,30.50000
            城镇人口所占比率（%）,西藏,2006,21.13000
            城镇人口所占比率（%）,陕西,2006,39.12000
            城镇人口所占比率（%）,甘肃,2006,31.09000
            城镇人口所占比率（%）,青海,2006,39.26000
            城镇人口所占比率（%）,宁夏,2006,43.00000
            城镇人口所占比率（%）,新疆,2006,37.94000
            乡村人口数（万人）,北京,2006,251.00000
            乡村人口数（万人）,天津,2006,261.00000
            乡村人口数（万人）,河北,2006,4224.00000
            乡村人口数（万人）,山西,2006,1923.00000
            乡村人口数（万人）,内蒙古,2006,1240.00000
            乡村人口数（万人）,辽宁,2006,1752.00000
            乡村人口数（万人）,吉林,2006,1281.00000
            乡村人口数（万人）,黑龙江,2006,1778.00000
            乡村人口数（万人）,上海,2006,222.00000
            乡村人口数（万人）,江苏,2006,3682.00000
            乡村人口数（万人）,浙江,2006,2206.00000
            乡村人口数（万人）,安徽,2006,3843.00000
            乡村人口数（万人）,福建,2006,1778.00000
            乡村人口数（万人）,江西,2006,2661.00000
            乡村人口数（万人）,山东,2006,5017.00000
            乡村人口数（万人）,河南,2006,6342.00000
            乡村人口数（万人）,湖北,2006,3199.00000
            乡村人口数（万人）,湖南,2006,3887.00000
            乡村人口数（万人）,广东,2006,3494.00000
            乡村人口数（万人）,广西,2006,3084.00000
            乡村人口数（万人）,海南,2006,451.00000
            乡村人口数（万人）,重庆,2006,1497.00000
            乡村人口数（万人）,四川,2006,5367.00000
            乡村人口数（万人）,贵州,2006,2677.00000
            乡村人口数（万人）,云南,2006,3116.00000
            乡村人口数（万人）,西藏,2006,225.00000
            乡村人口数（万人）,陕西,2006,2252.00000
            乡村人口数（万人）,甘肃,2006,1755.00000
            乡村人口数（万人）,青海,2006,333.00000
            乡村人口数（万人）,宁夏,2006,344.00000
            乡村人口数（万人）,新疆,2006,1272.00000
            乡村人口所占比率（%）,北京,2006,15.67000
            乡村人口所占比率（%）,天津,2006,24.27000
            乡村人口所占比率（%）,河北,2006,61.56000
            乡村人口所占比率（%）,山西,2006,56.99000
            乡村人口所占比率（%）,内蒙古,2006,51.36000
            乡村人口所占比率（%）,辽宁,2006,41.01000
            乡村人口所占比率（%）,吉林,2006,47.03000
            乡村人口所占比率（%）,黑龙江,2006,46.50000
            乡村人口所占比率（%）,上海,2006,11.30000
            乡村人口所占比率（%）,江苏,2006,48.10000
            乡村人口所占比率（%）,浙江,2006,43.50000
            乡村人口所占比率（%）,安徽,2006,62.90000
            乡村人口所占比率（%）,福建,2006,52.00000
            乡村人口所占比率（%）,江西,2006,61.32000
            乡村人口所占比率（%）,山东,2006,53.90000
            乡村人口所占比率（%）,河南,2006,67.53000
            乡村人口所占比率（%）,湖北,2006,56.20000
            乡村人口所占比率（%）,湖南,2006,61.29000
            乡村人口所占比率（%）,广东,2006,37.00000
            乡村人口所占比率（%）,广西,2006,65.36000
            乡村人口所占比率（%）,海南,2006,53.90000
            乡村人口所占比率（%）,重庆,2006,53.30000
            乡村人口所占比率（%）,四川,2006,65.70000
            乡村人口所占比率（%）,贵州,2006,72.54000
            乡村人口所占比率（%）,云南,2006,69.50000
            乡村人口所占比率（%）,西藏,2006,71.79000
            乡村人口所占比率（%）,陕西,2006,60.88000
            乡村人口所占比率（%）,甘肃,2006,68.91000
            乡村人口所占比率（%）,青海,2006,60.74000
            乡村人口所占比率（%）,宁夏,2006,57.00000
            乡村人口所占比率（%）,新疆,2006,62.06000
            户籍人口（万人）,北京,2006,1199.96440
            户籍人口（万人）,天津,2006,952.27930
            户籍人口（万人）,河北,2006,6939.11950
            户籍人口（万人）,山西,2006,3339.88330
            户籍人口（万人）,内蒙古,2006,2382.31900
            户籍人口（万人）,辽宁,2006,4210.35330
            户籍人口（万人）,吉林,2006,2679.51230
            户籍人口（万人）,黑龙江,2006,3791.80760
            户籍人口（万人）,上海,2006,1368.08270
            户籍人口（万人）,江苏,2006,7317.72340
            户籍人口（万人）,浙江,2006,4629.42930
            户籍人口（万人）,安徽,2006,6593.45050
            户籍人口（万人）,福建,2006,3409.14910
            户籍人口（万人）,江西,2006,4457.08760
            户籍人口（万人）,山东,2006,9282.34900
            户籍人口（万人）,河南,2006,10179.10370
            户籍人口（万人）,湖北,2006,6038.38240
            户籍人口（万人）,湖南,2006,6801.33710
            户籍人口（万人）,广东,2006,8048.71060
            户籍人口（万人）,广西,2006,4974.22910
            户籍人口（万人）,海南,2006,833.43580
            户籍人口（万人）,重庆,2006,3198.86920
