指标,地区,时间,数值
            总人口（万人）,北京,2020,2189.00000
            总人口（万人）,天津,2020,1387.00000
            总人口（万人）,河北,2020,7464.00000
            总人口（万人）,山西,2020,3490.00000
            总人口（万人）,内蒙古,2020,2403.00000
            总人口（万人）,辽宁,2020,4255.00000
            总人口（万人）,吉林,2020,2399.00000
            总人口（万人）,黑龙江,2020,3171.00000
            总人口（万人）,上海,2020,2488.00000
            总人口（万人）,江苏,2020,8477.00000
            总人口（万人）,浙江,2020,6468.00000
            总人口（万人）,安徽,2020,6105.00000
            总人口（万人）,福建,2020,4161.00000
            总人口（万人）,江西,2020,4519.00000
            总人口（万人）,山东,2020,10165.00000
            总人口（万人）,河南,2020,9941.00000
            总人口（万人）,湖北,2020,5745.00000
            总人口（万人）,湖南,2020,6645.00000
            总人口（万人）,广东,2020,12624.00000
            总人口（万人）,广西,2020,5019.00000
            总人口（万人）,海南,2020,1012.00000
            总人口（万人）,重庆,2020,3209.00000
            总人口（万人）,四川,2020,8371.00000
            总人口（万人）,贵州,2020,3858.00000
            总人口（万人）,云南,2020,4722.00000
            总人口（万人）,西藏,2020,366.00000
            总人口（万人）,陕西,2020,3955.00000
            总人口（万人）,甘肃,2020,2501.00000
            总人口（万人）,青海,2020,593.00000
            总人口（万人）,宁夏,2020,721.00000
            总人口（万人）,新疆,2020,2590.00000
            城镇人口所占比率（%）,北京,2020,87.55000
            城镇人口所占比率（%）,天津,2020,84.70000
            城镇人口所占比率（%）,河北,2020,60.07000
            城镇人口所占比率（%）,山西,2020,62.53000
            城镇人口所占比率（%）,内蒙古,2020,67.48000
            城镇人口所占比率（%）,辽宁,2020,72.14000
            城镇人口所占比率（%）,吉林,2020,62.64000
            城镇人口所占比率（%）,黑龙江,2020,65.61000
            城镇人口所占比率（%）,上海,2020,89.30000
            城镇人口所占比率（%）,江苏,2020,73.44000
            城镇人口所占比率（%）,浙江,2020,72.17000
            城镇人口所占比率（%）,安徽,2020,58.33000
            城镇人口所占比率（%）,福建,2020,68.75000
            城镇人口所占比率（%）,江西,2020,60.44000
            城镇人口所占比率（%）,山东,2020,63.05000
            城镇人口所占比率（%）,河南,2020,55.43000
            城镇人口所占比率（%）,湖北,2020,62.89000
            城镇人口所占比率（%）,湖南,2020,58.76000
            城镇人口所占比率（%）,广东,2020,74.15000
            城镇人口所占比率（%）,广西,2020,54.20000
            城镇人口所占比率（%）,海南,2020,60.27000
            城镇人口所占比率（%）,重庆,2020,69.46000
            城镇人口所占比率（%）,四川,2020,56.73000
            城镇人口所占比率（%）,贵州,2020,53.15000
            城镇人口所占比率（%）,云南,2020,50.05000
            城镇人口所占比率（%）,西藏,2020,35.73000
            城镇人口所占比率（%）,陕西,2020,62.66000
            城镇人口所占比率（%）,甘肃,2020,52.23000
            城镇人口所占比率（%）,青海,2020,60.08000
            城镇人口所占比率（%）,宁夏,2020,64.96000
            城镇人口所占比率（%）,新疆,2020,56.53000

数据来源：<p>中国国家统计局</p>
由EPS DATA整理
