指标,地区,时间,数值
地区生产总值（当年价）（亿元）,全国总计,2000.0,99214.55431
地区生产总值（当年价）（亿元）,全国总计,2001.0,109655.17056
地区生产总值（当年价）（亿元）,北京,2000.0,2478.76
地区生产总值（当年价）（亿元）,北京,2001.0,3710.52
地区生产总值（当年价）（亿元）,天津,2000.0,1639.36
地区生产总值（当年价）（亿元）,天津,2001.0,1919.09
地区生产总值（当年价）（亿元）,河北,2000.0,5088.96
地区生产总值（当年价）（亿元）,河北,2001.0,5516.76
地区生产总值（当年价）（亿元）,山西,2000.0,1643.81
地区生产总值（当年价）（亿元）,山西,2001.0,2029.53
地区生产总值（当年价）（亿元）,内蒙古,2000.0,1401.01
地区生产总值（当年价）（亿元）,内蒙古,2001.0,1713.81
地区生产总值（当年价）（亿元）,辽宁,2000.0,4669.06
地区生产总值（当年价）（亿元）,辽宁,2001.0,5033.08
地区生产总值（当年价）（亿元）,吉林,2000.0,1821.19
地区生产总值（当年价）（亿元）,吉林,2001.0,2120.35
地区生产总值（当年价）（亿元）,黑龙江,2000.0,3253.0
地区生产总值（当年价）（亿元）,黑龙江,2001.0,3390.13
地区生产总值（当年价）（亿元）,上海,2000.0,4551.15
地区生产总值（当年价）（亿元）,上海,2001.0,5210.12
地区生产总值（当年价）（亿元）,江苏,2000.0,8582.72763
地区生产总值（当年价）（亿元）,江苏,2001.0,9456.84
地区生产总值（当年价）（亿元）,浙江,2000.0,6036.34
地区生产总值（当年价）（亿元）,浙江,2001.0,6898.33884
地区生产总值（当年价）（亿元）,安徽,2000.0,3038.23588
地区生产总值（当年价）（亿元）,安徽,2001.0,3246.71456
地区生产总值（当年价）（亿元）,福建,2000.0,3920.07
地区生产总值（当年价）（亿元）,福建,2001.0,4072.85
地区生产总值（当年价）（亿元）,江西,2000.0,2003.07
地区生产总值（当年价）（亿元）,江西,2001.0,2175.68
地区生产总值（当年价）（亿元）,山东,2000.0,8542.44
地区生产总值（当年价）（亿元）,山东,2001.0,9195.036
地区生产总值（当年价）（亿元）,河南,2000.0,5137.66
地区生产总值（当年价）（亿元）,河南,2001.0,5533.01
地区生产总值（当年价）（亿元）,湖北,2000.0,4276.32
地区生产总值（当年价）（亿元）,湖北,2001.0,3880.53
地区生产总值（当年价）（亿元）,湖南,2000.0,3691.88
地区生产总值（当年价）（亿元）,湖南,2001.0,3831.9
地区生产总值（当年价）（亿元）,广东,2000.0,9662.23
地区生产总值（当年价）（亿元）,广东,2001.0,12039.25356
地区生产总值（当年价）（亿元）,广西,2000.0,2050.14
地区生产总值（当年价）（亿元）,广西,2001.0,2279.34
地区生产总值（当年价）（亿元）,海南,2000.0,518.48
地区生产总值（当年价）（亿元）,海南,2001.0,558.41366
