指标,地区,时间,数值
    地区生产总值（当年价）（亿元）,    北京,2016,25669.13000
    地区生产总值（当年价）（亿元）,    北京,2017,28014.94000
    地区生产总值（当年价）（亿元）,    天津,2016,17885.39000
    地区生产总值（当年价）（亿元）,    天津,2017,18549.19000
    地区生产总值（当年价）（亿元）,    河北,2016,32070.45000
    地区生产总值（当年价）（亿元）,    河北,2017,34016.32000
    地区生产总值（当年价）（亿元）,    山西,2016,13050.41000
    地区生产总值（当年价）（亿元）,    山西,2017,15528.42000
    地区生产总值（当年价）（亿元）,    内蒙古,2016,18128.10000
    地区生产总值（当年价）（亿元）,    内蒙古,2017,16096.21000
    地区生产总值（当年价）（亿元）,    辽宁,2016,22246.90000
    地区生产总值（当年价）（亿元）,    辽宁,2017,23409.24000
    地区生产总值（当年价）（亿元）,    吉林,2016,14776.80000
    地区生产总值（当年价）（亿元）,    吉林,2017,14944.53000
    地区生产总值（当年价）（亿元）,    黑龙江,2016,15386.09000
    地区生产总值（当年价）（亿元）,    黑龙江,2017,15902.68172
    地区生产总值（当年价）（亿元）,    上海,2016,28178.65000
    地区生产总值（当年价）（亿元）,    上海,2017,30632.99000
    地区生产总值（当年价）（亿元）,    江苏,2016,77388.28000
    地区生产总值（当年价）（亿元）,    江苏,2017,85869.76000
    地区生产总值（当年价）（亿元）,    浙江,2016,47251.36000
    地区生产总值（当年价）（亿元）,    浙江,2017,51768.26000
    地区生产总值（当年价）（亿元）,    安徽,2016,24407.62000
    地区生产总值（当年价）（亿元）,    安徽,2017,27018.00000
    地区生产总值（当年价）（亿元）,    福建,2016,28810.58000
    地区生产总值（当年价）（亿元）,    福建,2017,32182.09000
    地区生产总值（当年价）（亿元）,    江西,2016,18499.00000
    地区生产总值（当年价）（亿元）,    江西,2017,20006.31000
    地区生产总值（当年价）（亿元）,    山东,2016,68024.49000
    地区生产总值（当年价）（亿元）,    山东,2017,72634.14913
    地区生产总值（当年价）（亿元）,    河南,2016,40471.79000
    地区生产总值（当年价）（亿元）,    河南,2017,44552.83000
    地区生产总值（当年价）（亿元）,    湖北,2016,32665.38000
    地区生产总值（当年价）（亿元）,    湖北,2017,35478.09000
    地区生产总值（当年价）（亿元）,    湖南,2016,31551.37000
    地区生产总值（当年价）（亿元）,    湖南,2017,33902.96000
    地区生产总值（当年价）（亿元）,    广东,2016,80854.91000
    地区生产总值（当年价）（亿元）,    广东,2017,89705.23000
    地区生产总值（当年价）（亿元）,    广西,2016,18317.64000
    地区生产总值（当年价）（亿元）,    广西,2017,18523.26000
    地区生产总值（当年价）（亿元）,    海南,2016,4053.20000
    地区生产总值（当年价）（亿元）,    海南,2017,4462.54000
    地区生产总值（当年价）（亿元）,    重庆,2016,17740.59000
    地区生产总值（当年价）（亿元）,    重庆,2017,19424.73000
    地区生产总值（当年价）（亿元）,    四川,2016,32934.54000
    地区生产总值（当年价）（亿元）,    四川,2017,36980.22000
    地区生产总值（当年价）（亿元）,    贵州,2016,11776.73000
    地区生产总值（当年价）（亿元）,    贵州,2017,13540.82560
    地区生产总值（当年价）（亿元）,    云南,2016,14788.42000
    地区生产总值（当年价）（亿元）,    云南,2017,16376.34000
    地区生产总值（当年价）（亿元）,    西藏,2016,1151.41000
    地区生产总值（当年价）（亿元）,    西藏,2017,1310.92000
    地区生产总值（当年价）（亿元）,    陕西,2016,19399.59000
    地区生产总值（当年价）（亿元）,    陕西,2017,21898.81000
    地区生产总值（当年价）（亿元）,    甘肃,2016,7200.37000
    地区生产总值（当年价）（亿元）,    甘肃,2017,7459.89953
    地区生产总值（当年价）（亿元）,    青海,2016,2572.49000
    地区生产总值（当年价）（亿元）,    青海,2017,2624.83000
    地区生产总值（当年价）（亿元）,    宁夏,2016,3168.59000
    地区生产总值（当年价）（亿元）,    宁夏,2017,3443.56000
    地区生产总值（当年价）（亿元）,    新疆,2016,9649.70000
    地区生产总值（当年价）（亿元）,    新疆,2017,10881.96000
        第一产业增加值（亿元）,    北京,2016,129.79000
        第一产业增加值（亿元）,    北京,2017,120.42000
        第一产业增加值（亿元）,    天津,2016,220.22000
        第一产业增加值（亿元）,    天津,2017,168.96000
        第一产业增加值（亿元）,    河北,2016,3492.81000
        第一产业增加值（亿元）,    河北,2017,3129.98000
        第一产业增加值（亿元）,    山西,2016,784.78000
        第一产业增加值（亿元）,    山西,2017,719.16000
        第一产业增加值（亿元）,    内蒙古,2016,1637.39000
        第一产业增加值（亿元）,    内蒙古,2017,1649.77000
        第一产业增加值（亿元）,    辽宁,2016,2173.06000
        第一产业增加值（亿元）,    辽宁,2017,1902.28000
