指标,地区,时间,数值
    地区生产总值（当年价）（亿元）,    北京,2022,41610.90000
    地区生产总值（当年价）（亿元）,    北京,2023,43760.70000
    地区生产总值（当年价）（亿元）,    天津,2022,16311.30000
    地区生产总值（当年价）（亿元）,    天津,2023,16737.30000
    地区生产总值（当年价）（亿元）,    河北,2022,42370.40000
    地区生产总值（当年价）（亿元）,    河北,2023,43944.10000
    地区生产总值（当年价）（亿元）,    山西,2022,25642.60000
    地区生产总值（当年价）（亿元）,    山西,2023,25698.20000
    地区生产总值（当年价）（亿元）,    内蒙古,2022,23158.60000
    地区生产总值（当年价）（亿元）,    内蒙古,2023,24627.00000
    地区生产总值（当年价）（亿元）,    辽宁,2022,28975.10000
    地区生产总值（当年价）（亿元）,    辽宁,2023,30209.40000
    地区生产总值（当年价）（亿元）,    吉林,2022,13070.20000
    地区生产总值（当年价）（亿元）,    吉林,2023,13531.20000
    地区生产总值（当年价）（亿元）,    黑龙江,2022,15901.00000
    地区生产总值（当年价）（亿元）,    黑龙江,2023,15883.90000
    地区生产总值（当年价）（亿元）,    上海,2022,44652.80000
    地区生产总值（当年价）（亿元）,    上海,2023,47218.70000
    地区生产总值（当年价）（亿元）,    江苏,2022,122875.60000
    地区生产总值（当年价）（亿元）,    江苏,2023,128222.20000
    地区生产总值（当年价）（亿元）,    浙江,2022,77715.40000
    地区生产总值（当年价）（亿元）,    浙江,2023,82553.20000
    地区生产总值（当年价）（亿元）,    安徽,2022,45045.00000
    地区生产总值（当年价）（亿元）,    安徽,2023,47050.60000
    地区生产总值（当年价）（亿元）,    福建,2022,53109.90000
    地区生产总值（当年价）（亿元）,    福建,2023,54355.10000
    地区生产总值（当年价）（亿元）,    江西,2022,32074.70000
    地区生产总值（当年价）（亿元）,    江西,2023,32200.10000
    地区生产总值（当年价）（亿元）,    山东,2022,87435.10000
    地区生产总值（当年价）（亿元）,    山东,2023,92068.70000
    地区生产总值（当年价）（亿元）,    河南,2022,61345.10000
    地区生产总值（当年价）（亿元）,    河南,2023,59132.40000
    地区生产总值（当年价）（亿元）,    湖北,2022,53734.90000
    地区生产总值（当年价）（亿元）,    湖北,2023,55803.60000
    地区生产总值（当年价）（亿元）,    湖南,2022,48670.40000
    地区生产总值（当年价）（亿元）,    湖南,2023,50012.90000
    地区生产总值（当年价）（亿元）,    广东,2022,129118.60000
    地区生产总值（当年价）（亿元）,    广东,2023,135673.20000
    地区生产总值（当年价）（亿元）,    广西,2022,26300.90000
    地区生产总值（当年价）（亿元）,    广西,2023,27202.40000
    地区生产总值（当年价）（亿元）,    海南,2022,6818.20000
    地区生产总值（当年价）（亿元）,    海南,2023,7551.20000
    地区生产总值（当年价）（亿元）,    重庆,2022,29129.00000
    地区生产总值（当年价）（亿元）,    重庆,2023,30145.80000
    地区生产总值（当年价）（亿元）,    四川,2022,56749.80000
    地区生产总值（当年价）（亿元）,    四川,2023,60132.90000
    地区生产总值（当年价）（亿元）,    贵州,2022,20164.60000
    地区生产总值（当年价）（亿元）,    贵州,2023,20913.30000
    地区生产总值（当年价）（亿元）,    云南,2022,28954.20000
    地区生产总值（当年价）（亿元）,    云南,2023,30021.10000
    地区生产总值（当年价）（亿元）,    西藏,2022,2132.60000
    地区生产总值（当年价）（亿元）,    西藏,2023,2392.70000
    地区生产总值（当年价）（亿元）,    陕西,2022,32772.70000
    地区生产总值（当年价）（亿元）,    陕西,2023,33786.10000
    地区生产总值（当年价）（亿元）,    甘肃,2022,11201.60000
    地区生产总值（当年价）（亿元）,    甘肃,2023,11863.80000
    地区生产总值（当年价）（亿元）,    青海,2022,3610.10000
    地区生产总值（当年价）（亿元）,    青海,2023,3799.10000
    地区生产总值（当年价）（亿元）,    宁夏,2022,5069.60000
